city	brand	car_title	offer_price	mileage	newcar_price	car_age	result	
安庆	奇瑞旗云3	1.5L手动精英型	1.3	8.77	6.7	92	0.194029851
安庆	奇瑞风云2	掀背1.5L进取型	1.2	5.92	6.2	79	0.193548387
安庆	奇瑞E3	1.5L手动尊尚型	2.58	6.55	7.4	51	0.348648649
安庆	奇瑞风云2	掀背1.5L进取型	2	5.88	6.2	94	0.322580645
安庆	奇瑞QQ3	时尚版1.0L手动冠军型	1.48	5.56	3.6	44	0.411111111
安庆	奇瑞QQ3	时尚版1.0L手动启航型	1	11.03	3.9	68	0.256410256
安庆	日产逍客	2.0LCVT精英版	14	0.49	16.7	11	0.838323353
安庆	日产逍客	2.0XL火6MT2WD	5.68	6.88	16.5	83	0.344242424
安庆	日产骐达	1.6LCVT智能型	5.28	14.24	13.6	83	0.388235294
安庆	日产轩逸	经典1.6XE手动舒适版	5.6	4.21	10.8	42	0.518518519
安庆	日产逍客	2.0XV雷CVT2WD	7.2	6.36	19.6	74	0.367346939
安庆	日产奇骏	2.0LCVT舒适版2WD	13.2	4.42	21.4	49	0.61682243
安庆	荣威350	350S1.5L手动迅驰版	2.8	5.34	9.7	79	0.288659794
安庆	丰田威驰	1.5L自动智尚版	5.5	2.22	10.4	53	0.528846154
安庆	丰田凯美瑞	骏瑞2.0S耀动版	11	4.17	19.5	59	0.564102564
安庆	丰田RAV4	炫装版2.0L自动四驱	12.8	6.79	24.1	72	0.531120332
安庆	哈弗H6Coupe	蓝标2.0T自动两驱尊贵型	8.58	3.92	18.6	33	0.461290323
安庆	哈弗H6	运动版1.5T自动两驱豪华型	8.6	3.5	14.8	35	0.581081081
安庆	哈弗H6	运动版1.5T自动两驱豪华型	7.95	5.17	14.8	31	0.537162162
安庆	哈弗H1	1.5L手动都市型	3.9	4.33	7.5	44	0.52
安庆	哈弗H2	1.5T手动两驱尊贵版	6.4	7.03	12.2	40	0.524590164
安庆	哈弗H6Coupe	蓝标2.0T手动两驱精英型	10	4	16.3	31	0.613496933
安庆	哈弗H6	运动版1.5T手动两驱精英型	7.48	2.98	13.4	40	0.558208955
安庆	哈弗H6	1.5T手动两驱尊贵型	6	6.89	13	67	0.461538462
安庆	哈弗H2	1.5T手动两驱精英版	6.75	3.3	11.3	34	0.597345133
安庆	哈弗H6	升级版1.5T手动两驱精英型	6.1	6.01	11.9	41	0.512605042
安庆	海马M6	1.5T手动豪华型	4.08	3.25	9	35	0.453333333
安庆	海马S5	1.5T手动豪华型运动版	6	2.01	10.2	29	0.588235294
安庆	海马S7	2.0L手动智享型	4.68	2.79	12.7	51	0.368503937
安庆	海马S5	1.6L手动智能豪华型	5.1	5.3	9.9	33	0.515151515
安庆	海马S7	2.0L自动智尚型	5.2	5.9	12.9	67	0.403100775
